"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyta_part";"dist_barycenter"
"ANT33_b";"ANTERNE";"ANT";2370;"LIT";"C";33;"ANT33";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT33_b";"sample";"ANT";0,612645590682196;0,41932358186487
"ANT33_c";"ANTERNE";"ANT";2370;"LIT";"C";33;"ANT33";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT33_c";"sample";"ANT";0,498162488515553;0,395924953603639
"ANT34_a";"ANTERNE";"ANT";2370;"SOL";"A";34;"ANT34";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT34_a";"sample";"ANT";0,462962962962963;0,694813266034546
"ANT34_b";"ANTERNE";"ANT";2370;"SOL";"A";34;"ANT34";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT34_b";"sample";"ANT";0,150997150997151;0,737953828249652
"ANT34_c";"ANTERNE";"ANT";2370;"SOL";"A";34;"ANT34";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT34_c";"sample";"ANT";0,995722746216276;0,704534542447331
"ANT35_a";"ANTERNE";"ANT";2370;"SOL";"B";35;"ANT35";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT35_a";"sample";"ANT";0,532772098616957;0,419479953242228
"ANT35_b";"ANTERNE";"ANT";2370;"SOL";"B";35;"ANT35";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT35_b";"sample";"ANT";0,701694915254237;0,553167852170812
"ANT35_c";"ANTERNE";"ANT";2370;"SOL";"B";35;"ANT35";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT35_c";"sample";"ANT";1;0,506381421771286
"ANT36_c";"ANTERNE";"ANT";2370;"SOL";"C";36;"ANT36";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT36_c";"sample";"ANT";0,586939417781275;0,707106781186548
"CHA01_b";"CHAMROUSSE";"CHA";1250;"LIT";"A";1;"CHA01";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA01_b";"sample";"CHA";0,487632508833922;0,440051806912583
"CHA01_c";"CHAMROUSSE";"CHA";1250;"LIT";"A";1;"CHA01";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA01_c";"sample";"CHA";0,748829203858624;0,440051806912583
"CHA02_a";"CHAMROUSSE";"CHA";1250;"LIT";"B";2;"CHA02";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA02_a";"sample";"CHA";0,490112994350282;0,707106781186548
"CHA03_a";"CHAMROUSSE";"CHA";1250;"LIT";"C";3;"CHA03";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA03_a";"sample";"CHA";0,497056938050003;0,491787528277712
"CHA03_b";"CHAMROUSSE";"CHA";1250;"LIT";"C";3;"CHA03";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA03_b";"sample";"CHA";0,470794286234192;0,57692907426123
"CHA03_c";"CHAMROUSSE";"CHA";1250;"LIT";"C";3;"CHA03";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA03_c";"sample";"CHA";0,53783371234541;0,46712181776031
"CHA04_c";"CHAMROUSSE";"CHA";1250;"SOL";"A";4;"CHA04";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA04_c";"sample";"CHA";0,589558232931727;0
